Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
CELERY,"27,000","26,900",515 CWT / ACRE,"13,853,500 CWT",26.2 $ / CWT,"362,548,000"
"CELERY, UTILIZED",,,,"13,853,500 CWT",,
"CELERY, FRESH MARKET",,,,,(D) $ / CWT,(D)
"CELERY, PROCESSING",,,,,(D) $ / TON,(D)
GARLIC,"26,900","26,800",150 CWT / ACRE,"4,020,000 CWT",77.8 $ / CWT,"311,708,000"
"GARLIC, FRESH MARKET",,,,,170 $ / CWT,"234,413,000"
"GARLIC, PROCESSING",,,,,588 $ / TON,"77,295,000"
"GARLIC, UTILIZED",,,,"4,007,900 CWT",,
"RASPBERRIES, UTILIZED",,,,"70,790,000 LB",,"296,700,000"
RASPBERRIES,,"5,300","13,400 LB / ACRE","71,000,000 LB",4.19 $ / LB,
"RASPBERRIES, PROCESSING",,,,(D) LB,(D) $ / LB,(D)
"RASPBERRIES, FRESH MARKET",,,,(D) LB,(D) $ / LB,(D)
"PEPPERS, BELL","11,000","11,000",410 CWT / ACRE,"4,510,000 CWT",65.2 $ / CWT,"294,171,000"
"PEPPERS, BELL, FRESH MARKET",,,,,78.9 $ / CWT,"273,996,000"
"PEPPERS, CHILE","3,200","3,200",360 CWT / ACRE,"1,152,000 CWT",42.9 $ / CWT,"49,384,000"
"PEPPERS, BELL, PROCESSING",,,,,389 $ / TON,"20,175,000"
"PEPPERS, CHILE, UTILIZED",,,,"1,152,000 CWT",,
"PEPPERS, BELL, UTILIZED",,,,"4,510,000 CWT",,
"PEPPERS, CHILE, PROCESSING",,,,,(D) $ / TON,(D)
"PEPPERS, CHILE, FRESH MARKET",,,,,(D) $ / CWT,(D)
POTATOES,"23,000","22,900",460 CWT / ACRE,"10,534,000 CWT",27.7 $ / CWT,"291,792,000"
SWEET POTATOES,"19,000","19,000",320 CWT / ACRE,"6,080,000 CWT",47.7 $ / CWT,"289,993,000"
"SWEET POTATOES, FRESH MARKET",,,,,48.8 $ / CWT,"287,505,000"
"SWEET POTATOES, PROCESSING",,,,,264 $ / TON,"2,488,000"
"SWEET POTATOES, UTILIZED",,,,"6,080,000 CWT",,
"CHERRIES, SWEET, UTILIZED",,,,"98,690 TONS",,"282,742,000"
"CHERRIES, SWEET, FRESH MARKET",,,,"90,840 TONS","3,030 $ / TON","275,245,000"
"CHERRIES, SWEET, PROCESSING",,,,"7,850 TONS",955 $ / TON,"7,497,000"
"CHERRIES, SWEET",,"37,000",2.91 TONS / ACRE,"107,500 TONS","2,860 $ / TON",
CABBAGE,"17,900","17,800",375 CWT / ACRE,"6,675,000 CWT",40.2 $ / CWT,"267,550,000"
"CABBAGE, UTILIZED",,,,"6,661,700 CWT",,
"CABBAGE, FRESH MARKET",,,,,(D) $ / CWT,(D)
"CABBAGE, PROCESSING",,,,,(D) $ / TON,(D)
"BLUEBERRIES, TAME, UTILIZED",,,,"32,065 TONS",,"255,590,000"
"BLUEBERRIES, TAME, FRESH MARKET",,,,"51,680,000 LB",4.83 $ / LB,"249,614,000"
"BLUEBERRIES, TAME, PROCESSING",,,,"12,450,000 LB",0.48 $ / LB,"5,976,000"
"BLUEBERRIES, TAME",,"7,100","9,040 LB / ACRE","64,200,000 LB",3.99 $ / LB,
"NECTARINES, UTILIZED",,,,"142,910 TONS",,"242,070,000"
NECTARINES,,"16,100",9.05 TONS / ACRE,"145,500 TONS","1,690 $ / TON",
"NECTARINES, FRESH MARKET",,,,(D) TONS,(D) $ / TON,(D)
"NECTARINES, PROCESSING",,,,(D) TONS,(D) $ / TON,(D)
"AVOCADOS, UTILIZED",,,,"117,170 TONS",,"239,000,000"
